Time,Reference,Angle,Reference,Angle
12.82554,-318.872655,-318.871654,-468.316472,-468.315472
12.83577,-318.874242,-318.871654,-468.318059,-468.315472
12.84582,-318.876401,-318.871654,-468.320218,-468.315472
12.85726,-318.87971,-318.871654,-468.323527,-468.315472
12.86632,-318.882732,-318.871654,-468.326549,-468.315472
12.87648,-318.886791,-318.871654,-468.330609,-468.315472
12.8866,-318.891444,-318.871654,-468.335262,-468.315472
12.89675,-318.896734,-318.871654,-468.340551,-468.315472
12.90695,-318.902668,-318.871654,-468.346485,-468.315472
12.9171,-318.909198,-318.871654,-468.353016,-468.315472
12.9273,-318.916387,-318.871654,-468.360204,-468.324198
12.93744,-318.92414,-318.871654,-468.367958,-468.324198
12.94759,-318.932572,-318.871654,-468.376389,-468.324198
12.95773,-318.941514,-318.871654,-468.385331,-468.324198
12.96788,-318.951128,-318.871654,-468.394945,-468.332925
12.97802,-318.961363,-318.871654,-468.40518,-468.341651
12.98821,-318.972258,-318.871654,-468.416075,-468.341651
12.99827,-318.983632,-318.871654,-468.427449,-468.350378
13.00844,-318.995743,-318.871654,-468.439561,-468.359105
13.0186,-319.008455,-318.871654,-468.452272,-468.367831
13.02882,-319.02189,-318.871654,-468.465708,-468.376558
13.03894,-319.035789,-318.871654,-468.479606,-468.394011
13.04905,-319.050293,-318.871654,-468.49411,-468.402738
13.05917,-319.065421,-318.880381,-468.509238,-468.411465
13.06937,-319.081308,-318.889108,-468.525126,-468.420191
13.07956,-319.097795,-318.897834,-468.541612,-468.428918
13.08964,-319.114704,-318.906561,-468.558522,-468.437645
13.09986,-319.132479,-318.924014,-468.576297,-468.446371
13.10993,-319.150603,-318.941468,-468.59442,-468.455098
13.12004,-319.169432,-318.950194,-468.613249,-468.463825
13.13074,-319.190048,-318.976374,-468.633865,-468.472551
13.14041,-319.209207,-318.993827,-468.653024,-468.481278
13.15053,-319.229877,-319.011281,-468.673694,-468.498731
13.16066,-319.251202,-319.037461,-468.695019,-468.507458
13.17079,-319.273133,-319.054914,-468.71695,-468.516184
13.18099,-319.295836,-319.081094,-468.739654,-468.533638
13.19107,-319.318886,-319.107274,-468.762703,-468.551091
13.20125,-319.342788,-319.133454,-468.786606,-468.568544
13.21138,-319.367198,-319.150907,-468.811015,-468.594724
13.22151,-319.392206,-319.185814,-468.836023,-468.620904
13.23177,-319.418178,-319.211994,-468.861995,-468.647084
13.24195,-319.444585,-319.238173,-468.888402,-468.673264
13.25223,-319.47186,-319.27308,-468.915677,-468.708171
13.26215,-319.49875,-319.29926,-468.942567,-468.743077
13.27232,-319.526962,-319.334167,-468.970779,-468.777984
13.28247,-319.555748,-319.360347,-468.999566,-468.81289
13.29262,-319.585156,-319.40398,-469.028973,-468.847797
13.30278,-319.615173,-319.438886,-469.058991,-468.882704
13.31293,-319.645824,-319.473793,-469.089641,-468.926337
13.32334,-319.677919,-319.5087,-469.121736,-468.961243
13.33332,-319.709236,-319.552333,-469.153053,-468.99615
13.34346,-319.741725,-319.587239,-469.185542,-469.039783
13.3536,-319.774785,-319.630873,-469.218602,-469.07469
13.36386,-319.808868,-319.674506,-469.252685,-469.118323
13.37393,-319.84295,-319.709412,-469.286767,-469.161956
13.38404,-319.87777,-319.753046,-469.321588,-469.196863
13.39423,-319.913496,-319.796679,-469.357313,-469.240496
13.40439,-319.949723,-319.840312,-469.39354,-469.275403
13.41453,-319.986529,-319.883945,-469.430346,-469.319036
13.42503,-320.025306,-319.927579,-469.469124,-469.362669
13.43485,-320.06211,-319.971212,-469.505927,-469.397576
13.44503,-320.100895,-320.014845,-469.544712,-469.441209
13.45521,-320.140314,-320.058478,-469.584131,-469.484842
13.4654,-320.180366,-320.093385,-469.624183,-469.528475
13.47553,-320.220833,-320.137018,-469.66465,-469.563382
13.48569,-320.262019,-320.180651,-469.705836,-469.607015
13.49579,-320.303572,-320.224285,-469.747389,-469.650648
13.50599,-320.346207,-320.267918,-469.790024,-469.694282
13.51616,-320.389267,-320.311551,-469.833084,-469.737915
13.52665,-320.432428,-320.355184,-469.876245,-469.781548
13.53644,-320.472123,-320.398817,-469.91594,-469.825181
13.54659,-320.512716,-320.442451,-469.956533,-469.860088
13.55687,-320.553151,-320.477357,-469.996968,-469.912448
13.5669,-320.591984,-320.529717,-470.035801,-469.956081
13.57706,-320.630729,-320.57335,-470.074546,-469.999714
13.58719,-320.668761,-320.616984,-470.112578,-470.043348
13.59738,-320.706369,-320.660617,-470.150186,-470.086981
13.60749,-320.743113,-320.70425,-470.18693,-470.130614
13.61769,-320.779538,-320.747883,-470.223355,-470.174247
13.62792,-320.815465,-320.791517,-470.259282,-470.209154
13.63795,-320.850071,-320.83515,-470.293888,-470.252787
