Time,Reference,Angle,Reference,Angle
3.515051,,,,
3.522335,,,,
3.532057,,,,
3.542209,,,,
3.552429,,,,
3.562525,,,,
3.572657,,,,
3.582848,,,,
3.592964,,,,
3.603065,,,,
3.613258,,,,
3.623445,,,,
3.633553,,,,
3.643699,,,,
3.653887,,,,
3.663969,,,,
3.674186,,,,
3.68431,,,,
3.694488,,,,
3.704661,,,,
3.71475,,,,
3.724931,,,,
3.735224,,,,
3.745274,,,,
3.755439,,,,
3.765528,,,,
3.77586,,,,
3.7858,,,,
3.795942,,,,
3.806098,,,,
3.816213,,,,
3.826388,,,,
3.83664,,,,
3.846753,,,,
3.856848,,,,
3.866903,,,,
3.877441,,,,
3.88731,,,,
3.897406,,,,
3.907536,,,,
3.917684,,,,
3.927831,,,,
3.938064,,,,
3.948166,,,,
3.958313,,,,
3.968522,,,,
3.978581,,,,
3.988767,,,,
3.999,,,,
4.009079,,,,
4.019215,,,,
4.029347,,,,
4.039582,,,,
4.049866,,,,
4.059826,,,,
4.069966,,,,
4.080099,,,,
4.090281,,,,
4.100471,,,,
4.110593,,,,
4.120739,,,,
4.130838,,,,
4.141042,,,,
4.151305,,,,
4.161347,,,,
4.171504,,,,
4.18168,,,,
4.191815,,,,
4.201942,,,,
4.21208,,,,
4.22224,,,,
4.23239,,,,
4.242546,,,,
4.252721,,,,
4.262911,,,,
4.27297,,,,
4.28312,,,,
4.293232,,,,
4.303475,,,,
4.313554,,,,
4.323702,,,,
4.33387,,,,
4.343954,,,,
4.354165,,,,
4.36429,,,,
4.37445,,,,
4.384656,,,,
4.394782,,,,
4.404943,,,,
4.41513,,,,
4.425259,,,,
4.435343,,,,
4.445845,,,,
4.455622,,,,
4.46584,,,,
4.47591,,,,
4.486044,,,,
4.498232,,,,
4.506311,,,,
4.51644,,,,
4.534452,,,,
4.538804,,,,
4.548957,,,,
4.559207,,,,
4.569322,,,,
4.579447,,,,
4.589635,,,,
4.599734,,,,
4.609922,,,,
4.620076,,,,
4.630219,,,,
4.640382,,,,
4.650477,,,,
4.660699,,,,
4.670857,,,,
4.68101,,,,
4.691144,,,,
4.701293,,,,
4.71157,,,,
4.721626,,,,
4.731753,,,,
4.741922,,,,
4.752047,,,,
4.76216,,,,
4.772305,,,,
4.792079,,,,
4.796416,,,,
4.814651,,,,
4.819019,,,,
4.829179,,,,
4.839332,,,,
4.849431,,,,
4.859621,,,,
4.869767,,,,
4.879981,,,,
4.890164,,,,
4.900478,,,,
4.910413,,,,
4.92085,,,,
4.930711,,,,
4.940878,,,,
4.951078,,,,
4.96113,,,,
4.971335,,,,
4.98151,,,,
4.991662,,,,
5.001781,,,,
5.011892,,,,
5.022096,,,,
5.032216,,,,
5.042386,,,,
5.052614,,,,
5.062679,,,,
5.072808,,,,
5.083015,,,,
5.093169,,,,
5.105493,-126.912985,-126.911617,-126.869352,-126.867983
5.115553,-126.914638,-126.911617,-126.871005,-126.867983
5.125985,-126.91702,-126.920343,-126.873387,-126.867983
5.135833,-126.91983,-126.920343,-126.876197,-126.867983
5.145992,-126.923361,-126.920343,-126.879727,-126.867983
5.15614,-126.927503,-126.920343,-126.88387,-126.867983
5.166267,-126.932251,-126.920343,-126.888618,-126.867983
5.176434,-126.937644,-126.920343,-126.894011,-126.87671
5.186638,-126.943678,-126.920343,-126.900045,-126.87671
5.196776,-126.950288,-126.92907,-126.906655,-126.87671
5.207156,-126.957713,-126.92907,-126.91408,-126.87671
5.21709,-126.965392,-126.937796,-126.921759,-126.885437
5.227185,-126.973812,-126.937796,-126.930179,-126.894163
5.237469,-126.983039,-126.937796,-126.939406,-126.894163
5.247561,-126.992692,-126.937796,-126.949058,-126.90289
5.257661,-127.002962,-126.937796,-126.959328,-126.90289
5.267775,-127.013865,-126.937796,-126.970232,-126.911617
5.277951,-127.02546,-126.937796,-126.981827,-126.920343
5.297008,-127.049866,-126.937796,-127.006233,-126.937796
5.301557,-127.055605,-126.937796,-127.011972,-126.946523
5.311959,-127.069592,-126.937796,-127.025959,-126.95525
5.321911,-127.083544,-126.937796,-127.03991,-126.963976
5.332024,-127.098344,-126.937796,-127.05471,-126.972703
5.342217,-127.113885,-126.937796,-127.070252,-126.98143
5.352372,-127.129989,-126.946523,-127.086356,-126.990156
5.362513,-127.146686,-126.95525,-127.103053,-126.990156
5.372664,-127.164074,-126.95525,-127.120441,-126.998883
5.382791,-127.181924,-126.972703,-127.138291,-127.00761
5.392975,-127.200553,-126.98143,-127.156919,-127.00761
5.403111,-127.21971,-126.998883,-127.176077,-127.016336
5.413331,-127.239662,-127.016336,-127.196029,-127.025063
5.42356,-127.260247,-127.03379,-127.216614,-127.03379
