Time,Reference,Angle,Reference,Angle
17.0116,,,,
17.02153,,,,
17.03143,,,,
17.04157,,,,
17.05164,,,,
17.06183,,,,
17.07193,,,,
17.0821,,,,
17.09215,,,,
17.11026,,,,
17.11446,,,,
17.12457,,,,
17.13475,,,,
17.14485,,,,
17.15498,,,,
17.1651,,,,
17.17523,,,,
17.18539,,,,
17.19555,,,,
17.20565,,,,
17.21579,,,,
17.22593,,,,
17.23609,,,,
17.2462,,,,
17.25632,,,,
17.26647,,,,
17.27659,,,,
17.28672,,,,
17.29683,,,,
17.307,,,,
17.31712,,,,
17.32724,,,,
17.33741,,,,
17.34756,,,,
17.35768,,,,
17.36782,,,,
17.37798,,,,
17.38819,,,,
17.39822,,,,
17.40835,,,,
17.41849,,,,
17.42878,,,,
17.43895,,,,
17.44888,,,,
17.45899,,,,
17.46914,,,,
17.47925,,,,
17.48938,,,,
17.49965,,,,
17.50965,,,,
17.51977,,,,
17.52996,,,,
17.54004,,,,
17.5502,,,,
17.56031,,,,
17.57044,,,,
17.58052,,,,
17.59064,,,,
17.60081,,,,
17.61877,,,,
17.62298,,,,
17.63305,,,,
17.64323,,,,
17.65339,,,,
17.66354,,,,
17.67366,,,,
17.68374,,,,
17.69388,,,,
17.70404,,,,
17.71421,,,,
17.7243,,,,
17.7344,,,,
17.74461,,,,
17.75474,,,,
17.76485,,,,
17.77498,,,,
17.78512,,,,
17.80516,,,,
17.80932,,,,
17.81962,,,,
17.82962,,,,
17.83974,,,,
17.85006,,,,
17.86002,,,,
17.87012,,,,
17.88026,,,,
17.89039,,,,
17.9005,,,,
17.91063,,,,
17.92078,,,,
17.93094,,,,
17.941,,,,
17.95147,,,,
17.96141,,,,
17.97145,,,,
17.98152,,,,
17.99167,,,,
18.00179,,,,
18.0119,,,,
18.02203,,,,
18.03216,,,,
18.04236,,,,
18.05247,,,,
18.06259,,,,
18.0728,,,,
18.08289,,,,
18.09298,,,,
18.10317,,,,
18.11329,,,,
18.12346,,,,
18.13357,,,,
18.14369,,,,
18.15383,,,,
18.16396,,,,
18.17411,,,,
18.18424,,,,
18.19439,,,,
18.2045,,,,
18.21464,,,,
18.22481,,,,
18.23492,,,,
18.24503,,,,
18.25517,,,,
18.26531,,,,
18.27548,,,,
18.28556,,,,
18.29569,,,,
18.30584,,,,
18.31596,,,,
18.32608,,,,
18.34434,,,,
18.34852,,,,
18.3587,,,,
18.36875,,,,
18.37917,,,,
18.38917,,,,
18.39917,,,,
18.40939,,,,
18.41957,,,,
18.43,,,,
18.43986,,,,
18.44992,,,,
18.46001,,,,
18.47014,,,,
18.48029,,,,
18.49045,,,,
18.50052,,,,
18.51067,,,,
18.52077,,,,
18.53925,,,,
18.54344,,,,
18.55359,,,,
18.56374,,,,
18.57386,,,,
18.58402,,,,
18.59422,,,,
18.60432,,,,
18.61444,,,,
18.62454,,,,
18.63473,,,,
18.64483,,,,
18.65494,,,,
18.6651,,,,
18.67519,,,,
18.68537,,,,
18.69549,,,,
18.70566,,,,
18.71579,,,,
18.72592,,,,
18.73605,,,,
18.74625,,,,
18.75632,,,,
18.76644,,,,
18.77658,,,,
18.78673,,,,
18.80687,,,,
18.81117,,,,
18.82124,,,,
18.83132,,,,
18.84141,,,,
18.85162,,,,
18.86168,,,,
18.8718,,,,
18.88193,,,,
18.89202,,,,
18.9022,,,,
18.91237,,,,
18.92249,,,,
18.93261,,,,
18.94275,,,,
18.95292,,,,
18.96303,,,,
18.97319,,,,
18.98331,,,,
18.99342,,,,
19.01291,,,,
19.01714,,,,
19.02721,,,,
19.03738,,,,
19.04747,,,,
19.05765,,,,
19.06778,,,,
19.07789,,,,
19.08801,,,,
19.09817,,,,
19.10832,,,,
19.11843,,,,
19.12855,,,,
19.13869,,,,
19.14877,,,,
19.15894,,,,
19.16906,,,,
19.17919,,,,
19.1893,,,,
19.19944,,,,
19.2096,,,,
19.21979,,,,
19.22986,,,,
19.23997,,,,
19.25013,,,,
19.26021,,,,
19.27034,,,,
19.28047,,,,
19.29059,,,,
19.3007,,,,
19.31091,,,,
19.32106,,,,
19.33113,,,,
19.34121,,,,
19.35135,,,,
19.36148,,,,
19.37162,,,,
19.38173,,,,
19.39196,,,,
19.40197,,,,
19.41209,,,,
19.42252,,,,
19.4402,,,,
19.44437,,,,
19.45451,,,,
19.46478,,,,
19.47482,,,,
19.48493,,,,
19.49502,,,,
19.5052,,,,
19.51529,,,,
19.52549,,,,
19.53561,,,,
19.54576,,,,
19.5559,,,,
19.56602,,,,
19.57615,,,,
19.58637,,,,
19.59637,,,,
19.60654,,,,
19.61667,,,,
19.62899,0.0188197777,0.0174532925,0.0013664852,0
19.64738,0.023224331,0.0174532925,0.0057710385,0
19.65174,0.0241970828,0.0174532925,0.0067437903,0
19.6618,0.027226969,0.0174532925,0.0097736765,0
19.67197,0.0309132674,0.0174532925,0.0134599749,0
19.68216,0.0352256559,0.0174532925,0.0177723634,0
19.69217,0.0400630788,0.0174532925,0.0226097863,0
19.71025,0.051193395,0.0174532925,0.0337401025,0.0087266463
19.71452,0.0537556747,0.0261799388,0.0363023822,0.0087266463
19.72469,0.0606597745,0.0261799388,0.0432064819,0.0087266463
19.73605,0.0691816471,0.0261799388,0.0517283545,0.0087266463
19.74619,0.077372022,0.034906585,0.0599187295,0.0087266463
19.75628,0.0861287191,0.034906585,0.0686754266,0.0087266463
19.76636,0.0954890092,0.0436332313,0.0780357167,0.0087266463
19.77655,0.105570479,0.0523598776,0.0881171862,0.0087266463
19.78667,0.11619898,0.0523598776,0.0987456879,0.0087266463
19.79872,0.129810338,0.0610865238,0.112357045,0.0174532925
19.8069,0.139336898,0.0698131701,0.121883606,0.0174532925
19.81706,0.151859762,0.0698131701,0.134406469,0.0261799388
19.82731,0.16515144,0.0872664626,0.147698147,0.034906585
19.83737,0.17875429,0.0872664626,0.161300997,0.0436332313
19.84744,0.193012106,0.0959931089,0.175558814,0.0523598776
19.8576,0.208004539,0.104719755,0.190551247,0.0698131701
19.86776,0.223619217,0.104719755,0.206165924,0.0872664626
19.87791,0.239839611,0.113446401,0.222386319,0.104719755
19.88802,0.256611769,0.122173048,0.239158476,0.122173048
19.89815,0.274024718,0.130899694,0.256571425,0.13962634
19.9083,0.292083067,0.13962634,0.274629774,0.157079633
19.91839,0.310992767,0.13962634,0.293539475,0.174532925
19.93032,0.333555201,0.157079633,0.316101908,0.200712864
19.93878,0.350100436,0.165806279,0.332647143,0.218166156
19.94891,0.370593435,0.174532925,0.353140142,0.244346095
19.95902,0.391677717,0.191986218,0.374224425,0.261799388
19.96929,0.413722703,0.20943951,0.396269411,0.27925268
19.97944,0.43613378,0.226892803,0.418680487,0.305432619
19.9896,0.459163478,0.244346095,0.441710186,0.322885912
19.99968,0.482642418,0.270526034,0.465189126,0.34906585
20.00982,0.506857964,0.287979327,0.489404671,0.366519143
20.0202,0.532318074,0.314159265,0.514864782,0.383972435
20.03035,0.557854167,0.34906585,0.540400874,0.410152374
20.04027,0.583336285,0.375245789,0.565882993,0.436332313
20.05075,0.610952787,0.401425728,0.593499495,0.453785606
20.0605,0.637182629,0.436332313,0.619729336,0.488692191
20.0706,0.665002143,0.471238898,0.64754885,0.514872129
20.08074,0.693567626,0.497418837,0.676114334,0.541052068
20.09092,0.722834087,0.532325422,0.705380795,0.567232007
20.10111,0.752761228,0.567232007,0.735307936,0.593411946
20.11112,0.782758435,0.593411946,0.765305143,0.628318531
20.12125,0.8137283,0.628318531,0.796275007,0.663225116
20.13279,0.849892873,0.663225116,0.832439581,0.698131701
20.14149,0.87749634,0.698131701,0.860043048,0.733038286
20.15164,0.910391744,0.733038286,0.892938452,0.767944871
20.16179,0.943888564,0.776671517,0.926435271,0.802851456
20.17189,0.977854676,0.811578102,0.960401383,0.837758041
20.18205,1.01263361,0.855211333,0.995180322,0.881391272
20.19215,1.04778538,0.890117919,1.03033209,0.925024504
20.20239,1.08409726,0.93375115,1.06664397,0.959931089
20.21244,1.12031036,0.977384381,1.10285706,1.00356432
20.2225,1.15719283,1.01229097,1.13973954,1.04719755
20.23405,1.20041576,1.0559242,1.18296247,1.08210414
20.24313,1.23475053,1.09955743,1.21729724,1.13446401
20.25321,1.27357281,1.14319066,1.25611952,1.17809725
20.26337,1.31330544,1.18682389,1.29585215,1.22173048
20.27346,1.35338524,1.23045712,1.33593195,1.26536371
20.28367,1.39456695,1.27409035,1.37711366,1.30899694
20.29374,1.43575924,1.31772359,1.41830595,1.35263017
20.30395,1.47817911,1.36135682,1.46072582,1.3962634
20.31428,1.52175453,1.41371669,1.50430124,1.44862328
20.32415,1.56393544,1.45734993,1.54648214,1.49225651
20.33529,1.61235841,1.50098316,1.59490512,1.53588974
20.34449,1.65277058,1.54461639,1.63531729,1.57952297
20.35465,1.69803143,1.59697627,1.68057814,1.6231562
20.36479,1.7438876,1.6406095,1.72643431,1.67551608
20.37486,1.78999255,1.69296937,1.77253926,1.71914931
20.38507,1.83737286,1.73660261,1.81991957,1.77150919
20.39517,1.88486084,1.78023584,1.86740755,1.81514242
20.40532,1.9331697,1.83259571,1.9157164,1.85877565
20.41544,1.98201241,1.88495559,1.96455912,1.91113553
20.42554,2.03131624,1.92858882,2.01386295,1.95476876
20.43655,2.08590173,1.9809487,2.06844844,2.00712864
20.44591,2.13268951,2.02458193,2.11523621,2.05948852
20.45604,2.18400407,2.07694181,2.16655078,2.10312175
20.46618,2.23601759,2.12930169,2.2185643,2.15548163
20.47629,2.2884743,2.18166156,2.27102101,2.19911486
20.48645,2.34176869,2.23402144,2.32431539,2.25147474
20.49654,2.39537912,2.28638132,2.37792583,2.30383461
20.50674,2.4501092,2.3387412,2.43265591,2.34746784
20.51682,2.50488792,2.38237443,2.48743463,2.39982772
20.52694,2.56048357,2.44346095,2.54303028,2.4521876
20.53787,2.62129979,2.49582083,2.6038465,2.51327412
20.54729,2.67409127,2.54818071,2.65663797,2.565634
20.55738,2.73132992,2.60054059,2.71387662,2.61799388
