Time,Reference,Angle,Reference,Angle
11.9334,,,,
11.94133,,,,
11.9514,,,,
11.96148,,,,
11.97162,,,,
11.98198,,,,
11.99184,,,,
12.00195,,,,
12.01211,,,,
12.0222,,,,
12.03235,,,,
12.04252,,,,
12.05267,,,,
12.06276,,,,
12.07287,,,,
12.083,,,,
12.09319,,,,
12.10324,,,,
12.11337,,,,
12.12349,,,,
12.13363,,,,
12.14379,,,,
12.15385,,,,
12.16408,,,,
12.17415,,,,
12.18464,,,,
12.19465,,,,
12.20482,,,,
12.21492,,,,
12.22505,,,,
12.23522,,,,
12.2454,,,,
12.25549,,,,
12.2656,,,,
12.27577,,,,
12.28585,,,,
12.29598,,,,
12.30614,,,,
12.31626,,,,
12.32643,,,,
12.33649,,,,
12.34671,,,,
12.35686,,,,
12.36698,,,,
12.37711,,,,
12.38724,,,,
12.39739,,,,
12.40751,,,,
12.41765,,,,
12.42782,,,,
12.43791,,,,
12.44804,,,,
12.45819,,,,
12.46832,,,,
12.4785,,,,
12.48857,,,,
12.49873,,,,
12.50886,,,,
12.51898,,,,
12.5291,,,,
12.53923,,,,
12.54937,,,,
12.55952,,,,
12.56963,,,,
12.57981,,,,
12.5899,,,,
12.59999,,,,
12.61232,,,,
12.62025,,,,
12.63035,,,,
12.64048,,,,
12.65065,,,,
12.66078,,,,
12.67095,,,,
12.68106,,,,
12.69118,,,,
12.70266,,,,
12.71181,,,,
12.72169,,,,
12.73187,,,,
12.74197,,,,
12.75206,,,,
12.76221,,,,
12.77238,,,,
12.78253,,,,
12.79266,,,,
12.80283,,,,
12.81327,,,,
12.82301,,,,
12.83312,,,,
12.84321,,,,
12.85337,,,,
12.86351,,,,
12.88173,,,,
12.88595,,,,
12.89607,,,,
12.90622,,,,
12.91633,,,,
12.92653,,,,
12.93661,,,,
12.94678,,,,
12.9569,,,,
12.96698,,,,
12.97724,,,,
12.98731,,,,
12.99743,,,,
13.00754,,,,
13.0177,,,,
13.02787,,,,
13.03798,,,,
13.04807,,,,
13.05825,,,,
13.06845,,,,
13.07864,,,,
13.08868,,,,
13.0988,,,,
13.10897,,,,
13.11907,,,,
13.1292,,,,
13.13946,,,,
13.15067,,,,
13.15962,,,,
13.16974,,,,
13.17987,,,,
13.19005,,,,
13.20012,,,,
13.2103,,,,
13.22042,,,,
13.23066,,,,
13.24071,,,,
13.25082,,,,
13.26096,,,,
13.27107,,,,
13.28116,,,,
13.29135,,,,
13.30152,,,,
13.31158,,,,
13.32167,,,,
13.33184,,,,
13.34196,,,,
13.35206,,,,
13.36218,,,,
13.3723,,,,
13.38244,,,,
13.39262,,,,
13.40285,,,,
13.41286,,,,
13.42296,,,,
13.43385,,,,
13.44398,,,,
13.46195,,,,
13.46615,,,,
13.47629,,,,
13.48639,,,,
13.49656,,,,
13.50676,,,,
13.51854,12.9515856,12.950343,12.9603123,12.9590697
13.52845,12.9531676,12.950343,12.9618943,12.9590697
13.53853,12.955392,12.950343,12.9641186,12.9590697
13.54869,12.9582546,12.950343,12.9669813,12.9677963
13.55886,12.9617441,12.950343,12.9704707,12.9677963
13.56898,12.965826,12.950343,12.9745527,12.9677963
13.57913,12.9705371,12.950343,12.9792637,12.9677963
13.58929,12.9758797,12.9590697,12.9846064,12.9677963
13.59936,12.9817742,12.9590697,12.9905009,12.9677963
13.6099,12.9887255,12.9590697,12.9974522,12.9677963
13.62001,12.9958116,12.9590697,13.0045383,12.9677963
13.62979,13.0033123,12.9590697,13.0120389,12.9677963
13.63991,13.0117016,12.9590697,13.0204283,12.9677963
13.65004,13.0207083,12.9677963,13.0294349,12.9677963
13.6605,13.0307709,12.9677963,13.0394975,12.9677963
13.67036,13.0406602,12.976523,13.0493869,12.9677963
13.68049,13.0515197,12.9852496,13.0602463,12.9677963
13.69061,13.0629857,12.9852496,13.0717123,12.9677963
13.70075,13.0751006,12.9939763,13.0838272,12.976523
13.71113,13.0881594,13.0027029,13.096886,12.976523
13.72156,13.1019235,13.0114296,13.1106501,12.9852496
13.73151,13.1156261,13.0201562,13.1243527,12.9939763
13.74162,13.1301849,13.0376095,13.1389115,13.0027029
