Time,Reference,Angle,Reference,Angle
6.833007,-802.208645,-802.205684,-1258.30681,-1258.30385
6.837667,-802.209345,-802.205684,-1258.30751,-1258.30385
6.847767,-802.211645,-802.205684,-1258.30981,-1258.30385
6.857887,-802.214564,-802.205684,-1258.31273,-1258.30385
6.868009,-802.218097,-802.214411,-1258.31626,-1258.31258
6.878147,-802.222254,-802.214411,-1258.32042,-1258.31258
6.888351,-802.227065,-802.214411,-1258.32523,-1258.31258
6.898422,-802.232416,-802.214411,-1258.33058,-1258.31258
6.908559,-802.238423,-802.223137,-1258.33659,-1258.31258
6.918733,-802.245073,-802.223137,-1258.34324,-1258.31258
6.928962,-802.252392,-802.223137,-1258.35056,-1258.31258
6.938938,-802.260113,-802.223137,-1258.35828,-1258.3213
6.949056,-802.268566,-802.231864,-1258.36673,-1258.3213
6.959189,-802.277648,-802.240591,-1258.37581,-1258.33003
6.969299,-802.287322,-802.240591,-1258.38549,-1258.33003
6.979474,-802.297681,-802.249317,-1258.39585,-1258.33876
6.989562,-802.308558,-802.249317,-1258.40672,-1258.34748
6.999687,-802.320094,-802.258044,-1258.41826,-1258.35621
7.009808,-802.332238,-802.258044,-1258.43041,-1258.36494
7.019938,-802.345006,-802.258044,-1258.44317,-1258.37366
7.030081,-802.358412,-802.258044,-1258.45658,-1258.38239
7.040858,-802.373391,-802.266771,-1258.47156,-1258.39984
7.050385,-802.387113,-802.275497,-1258.48528,-1258.40857
7.060478,-802.402289,-802.284224,-1258.50046,-1258.42602
7.070644,-802.418204,-802.292951,-1258.51637,-1258.43475
7.080725,-802.434583,-802.292951,-1258.53275,-1258.4522
7.090861,-802.451675,-802.310404,-1258.54984,-1258.46966
7.100992,-802.469374,-802.327857,-1258.56754,-1258.47838
7.11115,-802.487749,-802.336584,-1258.58592,-1258.49584
7.121239,-802.50659,-802.362764,-1258.60476,-1258.50456
7.131359,-802.526115,-802.380217,-1258.62428,-1258.52202
7.14162,-802.546558,-802.39767,-1258.64472,-1258.53947
7.15163,-802.567077,-802.42385,-1258.66524,-1258.55692
7.16176,-802.588467,-802.45003,-1258.68663,-1258.57438
7.171888,-802.610467,-802.47621,-1258.70863,-1258.59183
7.182051,-802.633178,-802.50239,-1258.73134,-1258.60928
7.192177,-802.656404,-802.537297,-1258.75457,-1258.63546
7.212335,-802.705708,-802.598383,-1258.80387,-1258.68782
7.216775,-802.716464,-802.615836,-1258.81463,-1258.69655
7.226909,-802.741825,-802.642016,-1258.83999,-1258.73146
7.237035,-802.767779,-802.676923,-1258.86595,-1258.75764
7.247225,-802.794532,-802.71183,-1258.8927,-1258.79254
7.257303,-802.821579,-802.746736,-1258.91975,-1258.82745
7.267434,-802.849393,-802.781643,-1258.94756,-1258.86236
7.277584,-802.87788,-802.816549,-1258.97605,-1258.90599
7.287691,-802.906868,-802.851456,-1259.00503,-1258.9409
7.297822,-802.936526,-802.895089,-1259.03469,-1258.98453
7.307939,-802.96676,-802.929996,-1259.06493,-1259.01944
7.318085,-802.997705,-802.964902,-1259.09587,-1259.06307
7.328238,-803.029284,-803.008536,-1259.12745,-1259.1067
7.338337,-803.061305,-803.043442,-1259.15947,-1259.14161
7.348478,-803.094098,-803.078349,-1259.19226,-1259.18524
7.358587,-803.127372,-803.113255,-1259.22554,-1259.22015
7.368711,-803.161322,-803.148162,-1259.25949,-1259.26378
7.378828,-803.195851,-803.191795,-1259.29402,-1259.30742
7.388965,-803.231087,-803.226702,-1259.32925,-1259.34232
7.399117,-803.266991,-803.261608,-1259.36516,-1259.37723
7.409387,-803.303926,-803.305242,-1259.40209,-1259.42086
7.419334,-803.340302,-803.340148,-1259.43847,-1259.45577
7.429498,-803.378094,-803.375055,-1259.47626,-1259.49067
7.439596,-803.416254,-803.409961,-1259.51442,-1259.53431
7.449858,-803.455683,-803.444868,-1259.55385,-1259.56921
7.459858,-803.494666,-803.479774,-1259.59283,-1259.60412
7.46998,-803.534755,-803.523408,-1259.63292,-1259.63903
7.48013,-803.575577,-803.558314,-1259.67374,-1259.68266
7.490228,-803.616801,-803.601947,-1259.71497,-1259.71757
7.500396,-803.658942,-803.636854,-1259.75711,-1259.7612
7.510493,-803.701385,-803.680487,-1259.79955,-1259.79611
7.520611,-803.744532,-803.715394,-1259.8427,-1259.83101
7.530746,-803.788376,-803.759027,-1259.88654,-1259.87465
7.540869,-803.832783,-803.793934,-1259.93095,-1259.90955
7.551077,-803.878191,-803.837567,-1259.97636,-1259.95319
7.561166,-803.923663,-803.872474,-1260.02183,-1259.98809
7.571279,-803.969858,-803.916107,-1260.06802,-1260.03173
7.58144,-804.016921,-803.968467,-1260.11509,-1260.07536
7.59151,-804.064417,-804.003373,-1260.16258,-1260.11899
7.601923,-804.113996,-804.055733,-1260.21216,-1260.16263
7.611788,-804.161099,-804.099366,-1260.25927,-1260.21499
7.621943,-804.210588,-804.143,-1260.30875,-1260.25862
7.632042,-804.260394,-804.195359,-1260.35856,-1260.31098
7.642151,-804.310883,-804.247719,-1260.40905,-1260.35461
7.652294,-804.36217,-804.300079,-1260.46034,-1260.40697
7.67043,-804.456266,-804.387346,-1260.55443,-1260.50297
7.674962,-804.479705,-804.413526,-1260.57787,-1260.52915
7.684987,-804.532338,-804.465885,-1260.6305,-1260.58151
7.695146,-804.586298,-804.526972,-1260.68446,-1260.63387
7.705247,-804.64056,-804.579332,-1260.73873,-1260.69495
7.715393,-804.695689,-804.631692,-1260.79386,-1260.74731
7.725616,-804.751871,-804.701505,-1260.85004,-1260.8084
7.736102,-804.810166,-804.753865,-1260.90833,-1260.86948
7.746011,-804.865826,-804.814951,-1260.96399,-1260.92184
7.756126,-804.923257,-804.876038,-1261.02142,-1260.98293
7.774279,-805.028748,-804.937124,-1261.12691,-1261.04402
7.778687,-805.05428,-805.015664,-1261.15245,-1261.12256
7.788826,-805.113855,-805.085477,-1261.21202,-1261.18364
7.798985,-805.174144,-805.146564,-1261.27231,-1261.24473
7.809075,-805.234626,-805.20765,-1261.33279,-1261.31454
7.819202,-805.295959,-805.268737,-1261.39413,-1261.37563
7.829377,-805.358211,-805.329823,-1261.45638,-1261.44544
7.839444,-805.420388,-805.399637,-1261.51855,-1261.50653
7.849581,-805.483642,-805.46945,-1261.58181,-1261.57634
7.859709,-805.547442,-805.530536,-1261.64561,-1261.63743
7.877849,-805.664149,-805.591623,-1261.76232,-1261.70724
7.882256,-805.692386,-805.670163,-1261.79055,-1261.78578
7.892428,-805.758475,-805.739976,-1261.85664,-1261.8556
7.90253,-805.824699,-805.801062,-1261.92287,-1261.92541
7.912727,-805.892199,-805.870876,-1261.99037,-1261.9865
7.922784,-805.959336,-805.940689,-1262.0575,-1262.05631
7.932934,-806.027735,-806.010502,-1262.1259,-1262.12612
7.943087,-806.096765,-806.071588,-1262.19493,-1262.19594
